PRODUCT_IDID,MODEL_ID,Name,Price,Users Ratings,Rating,Total Reviews
51,AI14,"APPLE iPhone 14 Plus (Purple, 512 GB)","1,06,999","14,803",4.6,894
44,AI14,"APPLE iPhone 14 Plus (RED, 128 GB)","76,999","14,803",4.6,894
45,AI14,"APPLE iPhone 14 Plus (RED, 512 GB)","1,06,999","14,803",4.6,894
52,AI14,"APPLE iPhone 14 Plus (Starlight, 128 GB)","76,999","14,803",4.6,894
53,AI14,"APPLE iPhone 14 Plus (Starlight, 256 GB)","86,999","14,803",4.6,894
54,AI14,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)","1,19,999","1,721",4.7,121
55,AI14,"APPLE iPhone 14 Pro (Gold, 128 GB)","1,19,999","1,721",4.7,121
56,AI14,"APPLE iPhone 14 Pro (Silver, 128 GB)","1,19,999","1,721",4.7,121
57,AI14,"APPLE iPhone 14 Pro (Space Black, 128 GB)","1,19,999","1,721",4.7,121
58,AI14,"APPLE iPhone 14 Pro (Space Black, 512 GB)","1,49,999","1,721",4.7,121
59,AI14,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","1,27,999","1,914",4.6,139
60,AI14,"APPLE iPhone 14 Pro Max (Deep Purple, 512 GB)","1,57,999","1,914",4.6,139
61,AI14,"APPLE iPhone 14 Pro Max (Gold, 1 TB)","1,77,999","1,914",4.6,139
62,AI14,"APPLE iPhone 14 Pro Max (Gold, 128 GB)","1,27,999","1,914",4.6,139
63,AI14,"APPLE iPhone 14 Pro Max (Silver, 128 GB)","1,27,999","1,914",4.6,139
64,AI14,"APPLE iPhone 14 Pro Max (Space Black, 1 TB)","1,77,999","1,914",4.6,139
65,AI14,"APPLE iPhone 14 Pro Max (Space Black, 128 GB)","1,27,999","1,914",4.6,139
66,AISE,"APPLE iPhone SE 3rd Gen (Midnight, 256 GB)","46,599",871,4.3,95
67,AISE,"APPLE iPhone SE 3rd Gen (Midnight, 64 GB)","49,900",871,4.3,95
68,AISE,"APPLE iPhone SE 3rd Gen (Product (Red), 256 GB)","46,599",871,4.3,95
69,AISE,"APPLE iPhone SE 3rd Gen (Product (Red), 64 GB)","49,900",871,4.3,95
70,AISE,"APPLE iPhone SE 3rd Gen (Starlight, 128 GB)","54,900",871,4.3,95
71,AISE,"APPLE iPhone SE 3rd Gen (Starlight, 256 GB)","46,599",871,4.3,95
72,AISE,"APPLE iPhone SE 3rd Gen (Starlight, 64 GB)","49,900",871,4.3,95
