PRODUCT_IDID,MODEL_ID,Name,Price,Users Ratings,Rating,Total Reviews
21,AI13,"APPLE iPhone 13 (Blue, 256 GB)","69,999","2,85,395",4.7,"52,386"
22,AI13,"APPLE iPhone 13 (Green, 128 GB)","59,999","2,85,395",4.7,"52,386"
23,AI13,"APPLE iPhone 13 (Green, 256 GB)","69,999","2,85,395",4.7,"52,386"
24,AI13,"APPLE iPhone 13 (Midnight, 128 GB)","59,999","2,85,395",4.7,"52,386"
25,AI13,"APPLE iPhone 13 (Midnight, 256 GB)","69,999","2,85,395",4.7,"52,386"
26,AI13,"APPLE iPhone 13 (Pink, 128 GB)","59,999","2,85,395",4.7,"52,386"
27,AI13,"APPLE iPhone 13 (Pink, 256 GB)","69,999","2,85,395",4.7,"52,386"
19,AI13,"APPLE iPhone 13 (RED, 128 GB)","59,999","2,85,395",4.7,"52,386"
28,AI13,"APPLE iPhone 13 (Starlight, 128 GB)","59,999","2,85,395",4.7,"52,386"
29,AI13,"APPLE iPhone 13 (Starlight, 256 GB)","69,999","2,85,395",4.7,"52,386"
30,AI13,"APPLE iPhone 13 Pro Max (Gold, 512 GB)","1,34,999","1,917",4.6,183
34,AI14,"APPLE iPhone 14 (Blue, 128 GB)","67,999","46,714",4.6,"1,778"
35,AI14,"APPLE iPhone 14 (Blue, 256 GB)","77,999","46,714",4.6,"1,778"
36,AI14,"APPLE iPhone 14 (Midnight, 128 GB)","67,999","46,714",4.6,"1,778"
37,AI14,"APPLE iPhone 14 (Midnight, 256 GB)","77,999","46,714",4.6,"1,778"
38,AI14,"APPLE iPhone 14 (Midnight, 512 GB)","97,999","46,714",4.6,"1,778"
39,AI14,"APPLE iPhone 14 (Purple, 128 GB)","67,999","46,714",4.6,"1,778"
40,AI14,"APPLE iPhone 14 (Purple, 256 GB)","77,999","46,714",4.6,"1,778"
